,Review
10,"1/10 | Short review. If the races were switched as to whom was the predator and whom was the prey, there would be national outrage and this would be a boycotted and hidden film. There are limits, in my personal opinion, when you become too psychological, too propagandizing, in narratives that are inappropriate for society. With an age that is strongly pushing an anti-cop, racist, and white-privilege tone I could not get past the obvious intentions to shape, or at least strongly influence, public thought towards problems that back-room backers seem to spare no opportunity to not be involved in to achieve societal perceptions. I get tired of the double standards that exist where for some, it is OK to unfairly demonize a race depending on which race it is. I largely reject the anticipated arguments of lavish praise for efforts based on history that simply is not the present, or simple artistic expression. When America is a place where all methods of ""artistic expression"", or religious expression for that matter, are equally protected and not shut up based on threat of violence, advertiser boycotts, or ""hate speech"", perhaps I might change my views. This movie, to me, was as clear of an attempt to hide anti-white propaganda under a guise and found the film to be disgusting and racist. Racism towards white people is not ""reverse racism"" (the term alone being another evidence of how skewed society has become) or somehow different than any racism towards any race. This is racist. Plenty of films have been banned, boycotted, and protested for doing much less than the rampant anti-white themes throughout this film.. and yet, due to prevailing voices, racism is indeed alive and well as the film broadly wishes to convince viewers of.. only not in the way intended by the production team."
11,"1/10 | In this era of disposable entertainment where we have no cultural memory (and, I fear, no cultural future), and people are living only for the next best thing, is there no one who recognizes that this movie is almost a head-on remake of Ira Levin's The Stepford Wives (1975)? Substitute racism for sexism and mix liberally, no credit given to the original author. The fact that not even the Academy could recognize the wholly derivative plot shows how far we have fallen as a moviegoing public. In all likelihood, even Jordan Peale probably believes he wrote an original script. He didn't. And that's what's terrifying about Get Out.
152 out of 276 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
12,"3/10 | A rip off of The Skeleton Key. The fact that Peele stood there at the Academy Awards all emotional in his speech, acting like he wrote the script is ridiculous. Universal made both pictures, that's why there's no plagiarism law suit. It's a good story (TSK is a much better movie though) and with the gender and ethnicity of the main characters switched (white girl vs black family doing vodoo in the Skeleton Key) and after Oscars So White, it hit the Zeitgeist. That's fine. But Best ORIGINAL SCREENPLAY for Peele? What a joke....
164 out of 300 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
13,1/10 | 
14,"2/10 | This movie is absolute garbage. The only acting worth mentioning is the main character's and the overall plot seems to be written by an angry black teenager. The ""racism"" theme you find here isnt anything related to the real world like 12 Years a Slave or Django Unchained. I have no idea what granted Peele an Oscar for this film. Ive seen B movies much better than this and seeing someone go from comedy to Director you'd be 100 times better off watching A Quiet Place directed by John Krasinski. This movie left me feeling annoyed in the fact that ive wasted money and time on it; even The Emoji Movie is more entertaining than Get Out. Save yourself and read a synopsis and skip the actual watching part. 0/10 if i could give it.
100 out of 182 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
15,2/10 | 
16,9/10 | 
17,"1/10 | Horror tension, mystery tension and racial tension blend together into a gripping and formidable nail-biter in ""Get Out,"" the astonishing directorial debut of Jordan Peele. The former half of the comedy duo ""Key & Peele"" has found a way to both honor and subvert the thriller and horror genres in a way that's unmistakably modern.

In the tradition of ""The Stepford Wives"" with the twist of ""Guess Who's Coming to Dinner?,"" the story follows a young black man named Chris (Daniel Kaluuya) who goes to meet his girlfriend, Rose's (Allison Williams) parents at their fancy estate where things go from slightly uncomfortable in terms of Chris being black to deeply messed up in one slow but inevitable fell swoop.

With a creepy opening scene showing a different black man getting abducted in a peaceful-seeming suburb, the tone is set immediately that there's cause for concern. Luckily for Chris, Rose is really sensitive to issues of race and prejudice, and even when her parents (Bradley Whitford and Catherine Keener) or brother (Caleb Landry Jones) seem to make Chris' blackness into a thing, the two handle it as best as any interracial couple could. The warning signs come in the form of the Armitage family's black help, maid Georgina (Betty Gabriel) and groundskeeper Walter (Marcus Henderson), whose behavior is anything but normal.

Peele sets a tone of creepiness largely with the help of composer Michael Abels, also making his feature film debut. The unpredictable nature of Georgina and Walter as characters, the ever-increasing suspicion of all the white characters and the way Peele keeps you nervous about who or what is just outside the frame fuel the fear and paranoia as well as if not better than any horror movie featuring more overtly malevolent forces does.

Kaluuya, in a role that will deservedly put him on the map, gives a performance that will connect with viewers who identify with Chris as a man trying to feel comfortable while out of his element experiencing strange things, and those who truly understand Chris' experience as a man of color undergoing the very same events. It would be fascinating to know the different ways a black viewer would experience the film compared to a white one, but the most important thing is that everyone will identify with and feel for Chris.

When a little horror film debut like this one gets talents such as Whitford, Keener and Williams, you know the script is good. Peele keeps up the air of mystery a long time even without packing in very many unexpected twists. The awareness of something being wrong but not quite understanding what it going on or why despite getting new information is a real strength of Peele's writing. Then of course there's the brilliant ways that race and the black experience make it into the film. If that weren't enough, Chris' best friend (LilRel Howry) provides comic relief in a way that's stereotypical, yet Peele uses him in unexpected ways. So we get to benefit from Peele's nose for comedy as well.

Not everything adds up by the end of ""Get Out,"" but the film plays out in extremely satisfying fashion. Fans of horror and fans of thrillers who don't mind horror when it's done well should both enjoy the technique and experience. It provides thrills of the pulse-pounding, thrill-seeking and thought-provoking variety and few genre films can say the same.

~Steven C

Thanks for reading! Visit Movie Muse Reviews for more"
18,3/10 | 
19,"8/10 | First of all, in order for you to enjoy a horror movie, you need to relate with the protagonist. The main character in this movie keeps on the same dull and lifeless expression throughout most of the movie, like he is constantly lost in his own thoughts. Even when someone comes out of the woods running at him full speed, he remains there frozen, staring into the void. The plot twist is easy to anticipate early on. This makes the second half of the movie boring and tedious. Actually, you know who the bad guys are half hour in the movie, it's really easy since there are no good guys apparently. Finally, this movie took the concept of Skeleton Key and replaced magic with science and blacks with whites.

And if you ask why this movie has high ratings, is because of modern politics. Every single white person is portrayed as evil and envious of black people, in every aspect. Skin colour, muscles, talent, even eyes. Thus, critics gave it high ratings.
61 out of 109 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
20,"8/10 | I'll say right off the bat, I didn't really know who Jordan Peele was coming into this movie. I knew he had a show with Keegan-Michael Key and was a comedian of sorts. What I didn't know was that hiding underneath all that was a genuine fan of classic horror just waiting to get out.

Get Out surprised me for a number of reasons. The first is it kept me wondering what exactly was going on. There was just enough there to build atmosphere and tension without giving away the surprise. And it was delivered with such skill and care that It truly unfolded masterfully. You know something is wrong. You know something is up. But you can't quite figure out what it is.

And secondly this was the work of a first time director. It's rare that you get a movie written and directed by the same person on their first attempt and they manage to hit it out of the park.

And lastly, it gave us something new. This is possibly the best aspect because I am sick to death of cookie cutter horror movies. People nowadays have forgotten that horror doesn't just mean blood and guts. Before directors had to create tension and atmosphere by building the plot and unraveling the story slowly. It's refreshing to see this done with such care.

Is it a perfect movie? No it isn't, but it's damn good especially if you're in the mood for a good psychological thriller with horror overtones."
21,"5/10 | Fantastic! I would not call it ""horror"" but certainly ""thriller"" with some comedy thrown into it. This Jordan Peele fellow has managed to bring something new to this genre and I certainly hope he'll do more thrillers.

The cast is great and I especially enjoyed Betty Gabriels performance. Lots of faces I have never seen before and they all did a stellar job. And those faces I have seen before did a stellar job, too. =)

I do not know if the overall idea is new but the way it was presented and the way it was done feels very fresh.

Warmly recommended!
128 out of 243 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
22,"3/10 | Get out, is no doubt a fine horror film, but it ain't anything special. A young black man visit along with his white girlfriend her parents. It's pretty obvious shortly that this is a very politicial horror film, based on very stupid liberal agenda. And the only reason this movie was made, was to please the new PC generation. Like I said it's a ok. horror film, nothing more.
55 out of 98 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
23,4/10 | 
24,"1/10 | 'Get Out' is a disappointing and highly overrated movie that fails to meet even the most basic expectations of a horror/thriller. It lacks any real scares, is generally ineffective in its attempts to be creepy, and many of the would-be thrills fall flat due to the fact that the plot is, for the most part, completely predictable with many of the plot 'twists' glaringly obvious.

To most viewers, it will be fairly obvious what is going to happen in this movie from very early on, and so the big 'twists' really don't have any impact at all. I was sat there waiting for something that I hadn't seen coming - a smart and well-disguised twist that all decent thrillers have, but it never arrived.

Even to the very last scene, 'Get Out' is so predictable and never even attempts to think out of the box, resulting in a rather dull, boring and forgettable thriller.
47 out of 83 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
25,1/10 | 
26,1/10 | 
27,"1/10 | There is no way this movie could have a rating over 6. There is ABSOLUTELY NOTHING NEW in this movie, no new concept, a fest of cliches, even the twist was almost a copy of another movie ""Skeleton Key"", which I did not enjoy even. And if a movie calls its own genre ""thriller"" or ""horror"", then the movie should keep some level of atmosphere, to make the audience tense up to some point. Not saying that the atmosphere was even there, it was made even worse by inserting some random jokes in between the movies, which of course wasn't even humorous. And the character development was the worst thing in this movie, as some character shows passionate caring attitude and all of the sudden he/she turns into a complete psychopath. It was so abrupt that he/she would even change the way he/she speaks to a person that's not even supposed to know something happened. One of the key evidence that this movie was made without brains.

Let's just be honest. The movie makers only cared about making profit. Mixing horror, comedy, and not forgetting to insert white-is-evil rich-is-evil theme inside with a black person as main, so that you can call all negative reviewers ""racist"" (and sorry, I'm not even white). Then using some way to make people spam positive reviews, most of them which I highly doubt even saw the movie. I honestly think more effort, money was spent on making positive reviews rather than the movie itself. Hence the ""low budget"" movie."
28,1/10 | 
29,3/10 | 
30,9/10 | 
31,"1/10 | This movie is appropriately in a genre Mr. Jordan Peele has christened, ""Social Thriller"". The movie creates a very unsettling feeling from the beginning that slowly builds to a crescendo, that forces the viewer to see prejudices head on. When all is said and done, you now have kind of a bird's eye view of what is wrong with society. But besides that, it hints a Hitchcock-type of thrill that is sure to deliver Goosebumps. A HUGE congratulations to Jordan Peele for hitting a HOME RUN, his first time up to bat. Looking forward to future projects from him. GO SEE, GET OUT. 😀😀
238 out of 487 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
32,1/10 | 
33,"5/10 | I can't believe the high score on this film. I'm a massive film fan and this is one of my favorite genres so trust me when I say this is very very overrated. The humor falls short and it is not scary in the slightest. Let's be honest, this is the same propaganda that is in the news right now with the black lives matter and Trump rubbish. This is highly irresponsible and offensive to any white person and if the film was the other way around with whites and blacks then there would be a massive backlash. How many films now play the race or sexism card now?! This film is a blatant rip off of Skeleton Key but Skeleton Key is actually a good film so ignore all the reviews on this film cause I can't help but think it just mirrors the sad state of the victim mentality and racism that is all the rage right now. Avoid!!
97 out of 189 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
34,"1/10 | This movie received incredible reviews at the time of release and so I watched it with great anticipation. However I was hugely disappointed. It is nothing more than a run of the mill horror with a nasty, thinly veiled message beneath it that all white people are racists. Whilst the premise is interesting, it is played like it's either a pastiche or an Am Dram production with a hint of Hammer Horror. The plot has no surprises and by half way through it has become boring.
30 out of 52 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
35,"9/10 | Really disappointed. Totally predictable movie. Some parts really dumb, like the one at the police station when all agents laughed. In short, this movie is a waste of time.
45 out of 82 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
36,"8/10 | Ok here goes. Having read the reviews and seeing how polarized they were,, I had to check the movie out myself. To all who regard the movie as racist - I don't think so. Any modern day theme be it racism, sexism, disability issues anything can be used in this movie to highhight the issues being faced by individuals. It is for most part a unique genre in its own right. Take dusk till dawn mix it with some eugenics and a pinch of humour and bingo . Yes it does make you feel uncomfortable but not in a serious way. It's funny in places and very clever in bits. Some beautiful shots and filming and menacing score keep it simmering brilliantly. Watch it make your own mind up. Personally one of the most enjoyable movies from last year. Bravo.
98 out of 192 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
37,5/10 | 
38,"10/10 | Horror ..Really? 4 Oscar nominations.. Really??!! This is not a bad movie, but it's just an any-day movie with a plot that it's predictable from the early start. It's just another proof that academy awards don't reflect quality of pictures anymore.
86 out of 168 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
39,8/10 | 
40,3/10 | the newest film made by jordan peele lives out to the hype that it made.horror comedy is one of the hardest genres(or sub genres) to make a movie about.some good examples would be evil dead 2 and scream.the film actually takes a subject like racism and makes it into a parody of itself.the comedy of the movie is actually really subtle and your'e not gonna walk into the movie and start laughing as a joke comes along.its a realization that can be made while watching the film or after you watched it.it can't be really called a satire of horror movies because it uses the horror movie clichés more than once but the good part is that i doesn't annoy you like a lot of horror movies do.one of the strengths of the movie is that you don't need to be an American to understand the story.a basic knowledge about racism will be enough.but for the clues and metaphors that are in the movie you need to pay more attention and know a little bit more.there are no jokes in the movie and even the comedy relief character lil rel howery doesn't make jokes but sells its comedy by his performance which makes him actually funny and not just an annoying side character like we see mostly in the movies right now.the performances are great and the character choices are rational and logical unlike most horror movies we see today.allison williams does a pretty good job and actually nails the character far more better than i expected.the cinematography is pretty good but it got distracting in two or three places of the movie but it wasn't boring and actually kept the movie pretty good looking.the twists of the movie will actually kinda predictable but that wasn't what the movie was about and i didn't expected to be shocked since the movie doesn't take itself to seriously but serious enough to keep the plot going.the CGI blood were kinda distracting and the movie got slow in a few places but it had the pay-off and you were rewarded after the scenes.the movie is well made and deserves a second viewing in some time and i would recommend it to horror fans or if your'e a fan of subtle humor and comedy.
41,"1/10 | The trailers and commercials looked awful, but the reviews were great. So I went to see the movie. I was expecting something like an intellectual version of ""Scary Movie."" Nope. It was incredibly boring. Maybe the worst movie I've seen in five years. I kept waiting for something to happen, but nothing ever did. I kept wondering, ""How the hell did this movie get such good reviews?"" ""Get Out"" was supposed to be a horror-comedy, but I got maybe three chuckles out of it. The only guy who was close to being funny was the TSA agent. Almost nothing was scary. Damn, I could have seen Skull Island instead.

That said, everyone else in the theater seemed to love the movie, and there was some subtle humor that I thought was well done. Still, I found it very monotonous.
35 out of 63 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
42,"1/10 | What a truly sad waste of time? Social commentary? Not even close. Social preaching to a progressive delusional audience? Apparently there is a market for such drivel based on the sanctimonious preaching in many of the pontificating '10's' posted here. Gave it every chance.... but they kept digging a political hole deeper and deeper leaving entertainment to die a painful death here. Peele has done so much better. This..... truly the worst of his 'message movies'.... deserves no further mention.... ever.
31 out of 55 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
43,1/10 | 
44,1/10 | 
45,"1/10 | I wonder if I can press charges against Jordan Peele, for ROBBING me of 104 minutes?

There's nothing new, or refreshing about this horrible ""movie"". It's no better than a WWII Nazi propaganda film. There's no ""social commentary"" in this atrocious excuse of a movie, BUT it's definitely riddled with racist agitprop. It's like an SJW's version of Orwell's ANIMAL FARM...""Black people gooood...white people baaaad!"". Instead of creating a film that would help revitalize a quickly stagnating genre, Jordan Peele has created nothing more than a piece of propagating filth. Rather than trying to make a film showing the unity of the human race, he drives a wedge of contention between the races...further fueling bigotry, and hate. It's pompousness, and arrogance that strokes the flames, NOT genius. If I could rate this drivel less than 1, I would. Stay far, far away from this!!!
106 out of 213 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
46,"1/10 | Get Out, no really, Get out...

So, I went to see the movie Get Out with some friends yesterday. We had a choice between Leggo Batman and Get Out, and we chose Get Out. We're still arguing about who should be blamed for that choice. They list it as a horror. What they don't tell you is that the horror is that someone would even make this movie. I've never seen any of Jordan Peele's movies before this. I will spend the rest of my life trying to avoid ever seeing one of his movies again. The thing strives to be one of those Sixth Sense ""What a twist!"" movies, but the so called twists are so obvious, unrealistic and just flat out lame that you find yourself rolling your eyes in the dark and just praying that no more twists are coming. And they always are. If you were to take the racial premise in this movie and reverse it, there would be pickets and riots. But apparently it's perfectly acceptable to have a white people are evil and black people are good movie. Just for the record, I'm only part white. But I'm fully offended by the premise of this movie, not to mention in the clumsy and lazy execution that doesn't bother to try to make its plot points make any sense. To be fair, the trailer to Get Out does hint that this could either be a very good movie or one of the worse that you've ever seen. It comes far close to the latter and is too lazy to ever even approach the former possibility. This movie really does suck. It sucks despite some very good actors, including Catherine Keener, who has been superb in indie films like Your Friends and Neighbors and Bradley Whitford, an Aaron Sorkin favourite. The lead actor Daniel Kaluuya was even in the wonderful British series The Fades and Skins. And yet the net result, the only result is just flat out stupid and predictable. Maybe the title, Get Out, is meant as a warning to any potential audience. But probably not. That would require too much effort and self awareness. But the rest of us can try to help each other out in these days when going to the movies is more expensive in most places than drugs, and gives you far less pleasure. When in comes to Get Out, please, please, for your own stakes... Stay out... Go see Leggo Batman. I haven't seen it. But I wish I had."
47,"9/10 | I should have Got Out before the movie started..

I am shocked by the high ratings this got. Seems like a case of the Emperor's New Clothes to me. It wasn't as clever, certainly nowhere near as funny or even scary as reviews led us (wife, me) to believe. Very disappointing...
82 out of 163 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
48,"8/10 | Get Out is full of touches and surprises, strong acting, excellent direction, and above it, it's a ride, a trip to a place Hollywood doesn't normally go - it offers a unique experience - and in this age of copycat, cookie cutter safe choice cinema, it stands out by a mile.

Get Out is that rare beast - a film that leaves you satisfied yet pondering. We objected to its constant referral as a horror film - it's an effective thriller with mild horror elements - but it is not a gore/slasher movie - this is more about getting under the skin, and inside the mind, of the viewer.

The plot is simple: girlfriend takes boyfriend home. Home is not what home seems to be. Fun ensues. The genius of this is the way it plays on both white and black perceptions - we asked how the film would be if you reversed all the roles (pretty darn effective) etc;

Get out and see it."
49,1/10 | 
50,"10/10 | This movie in a word... TERRIBLE.

If you want to see a comedy, go see a comedy. If you want to see a horror, go see a horror. This movie claiming to be both of those things is an insult to both genres. There is NO comedy or horror to be seen here.

There's got to be a way to explain the 'hype' and positive reviews about this boring movie. I think it's mostly because critics wouldn't dare hate on as it would label them racist.

You have the feeling this is about the director, up on his soapbox, expressing his racism towards whites. But, hey, its seems it's OK for them to do that. They get applauded for it.

To sum up - Boring, Dull, Slow, Very Predictable (I saw the plot unfolding a mile away) Not funny or scary. Total waste of a Saturday night."
51,1/10 | 
52,1/10 | 
53,"1/10 | I don't want to spoil the movie so I won't say much other than this movie is extremely offensive to anyone who is of mixed racial background as I am. Poor quality bad taste, bad ending. You can do better than this movie in theaters. If you have to see it wait for the Netflix version you'll be glad you saved your money.
90 out of 184 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
54,1/10 | 
55,3/10 | 
56,"1/10 | I'm white, so I realise I should be giving this movie somewhere between a 7-10 rating to appear as woke as possible, but c'mon, this was pretty garbage... So many plot holes. So many silly moments. Took itself way too seriously. The two leads were ok, did a decent job. The rest of the actors I found incredibly annoying, especially the brother of the girlfriend. Definitely not the worst movie I've seen, but NOT worthy of the hype and high ratings.
38 out of 72 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
57,8/10 | 
58,"1/10 | Jordan Peele's directorial debut is an exhilarating horror thriller that also manages to spark laughter and comment on social issues. The cinematography, tropes, and soundtrack echo horror, but the film finds abundant moments of comic relief like when a father reassures the main character he isn't racist by claiming, ""I would have voted for Obama for a third term."" Before the plot delves into a traditional horror frenzy, it mines the horrors of racism. The social commentary plays on audience expectations and results in both humor and suspense. Delivering both on the expectations of the genre and the comedic expectations of a Jordan Peele creation, GET OUT is simply amazing.
112 out of 235 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
59,"1/10 | I went in expecting a knockout of a horror movie ...with a bit of humor in it according to the description and some word of mouth reviews. ...I barely made it through the entire movie. Really bad writing, directing and acting, although I like the two leads. It was nothing better than a mid-range episode of Twilight Zone or Outer Limits; the comedy fell just as flat as the story for me ...it came off as completely forced; not funny at all.
92 out of 191 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
60,"10/10 | I feel so sorry for myself after trying out this movie. The reviewers gave it good scores, but since this movie was injected with a million different ways to make white people look racist and tons of sexual innuendo between our handsome male lead and our resident sexy white girl, I guess it would have been politically incorrect for reviewers to have even a microscopic sized spine to criticize it. I mean hell, are you into like toe-nail fetishes? Femdom? you might like a scene or two, but the rest will give you cancer.

I can honestly say, this movie's writing is worse than anything I've seen before. Twilight? Yeah. It's worse. The acting is almost as bad, especially from the supporting cast. But really it's just everything about the writing, I bet I could have written a better film when I was in 4th grade. I am writing this review so that you don't waste your time. Please don't waste your time. Please. Avoid like the plague, not worth even 1 star, piece of horse crap of a film.

For the record, I didn't make it past the first 25 minutes, I don't care what happens after that, I already lost 25 minutes I'll never get back to the worst writing I've ever witnessed. Everyone involved in this film should be ASHAMED. They should have just made a porno with the two lead actors."
61,"1/10 | Jordan Peele is a man best known as one half of the comedy duo Key & Peele, so when I first heard the news that he'd written and directed a horror film, I would be lying if I said I wasn't a little surprised. Then came reports that Get Out was getting ridiculously good feedback from test screenings and, after horror having a solid year in 2016, I was hoping it'd live up to expectations. Believe the hype guys because Get Out is as good as you've heard.

Black photographer Chris Washington (Daniel Kaluuya) and his white girlfriend Rose Armitage (Allison Williams) visit Rose's parents for the weekend, where they will meet Chris for the very first time. Staggered by their behaviour from the very off, Chris begins to think all is not right in the home of Dean (Bradley Whitford) and Missy Armitage (Catherine Keener).

I absolutely loved Get Out as both a psychological and satirical horror, Jordan Peele's imagination bringing us something quite unique within the genre and showing that he has such a big future ahead as a filmmaker. Right from the opening sequence, which is one of the best openings to a horror I've seen, I knew this film was going to be special. It felt almost as if I was watching a film from a seasoned director and not a man making his directorial debut, Peele exuding confidence more and more as the film rises through the levels of paranoia.

The writing is spot on as well, Peele's background as a comedian coming into great use to blend the satire so perfectly with the horror. Peele has clearly made Get Out as a form of social commentary but he does so by keeping the audience on their toes, wondering where the film will turn next, which is one of the most important aspects of a horror film. As well as being genuinely creepy, Get Out also has some hilarious moments up its sleeve, leaving the audience in the palm of Peele's hand.

Peele's confidence as a filmmaker is seen further through Toby Oliver's swift cinematography, akin to work seen in The Shining, and both Michael Abels haunting score and songs picked by Peele to accompany his twisted film.

Coming to the performances, Get Out excels above many horror films with a talented and strong cast. Daniel Kaluuya leads the film with a quite exceptional performance as Chris Washington, impressing with each passing minute as the paranoia within his character grows. Expect to see much more of Kaluuya in the future.

Bradley Whitford and Catherine Keener are both devilishly charming and unnerving with their performances as Rose's parents, who take an immediate interest in Chris' life, both past and present. Get Out gets its truly unsettling performances from Betty Gabriel and Marcus Henderson as Georgina and Walter, hired by Dean's father. They both have a stand-out scene where it becomes clear that all is not well with either them or the house they tend to. Lil Rel Howery deserves a mention too for being genuinely funny in the role of Chris' best friend, Rod, who doesn't just feel like the comedy relief shoehorned in for the sake of it.

Get Out brilliantly continues the resurgence of the horror genre and, as a directorial debut, has to go down as of the best I've seen from Jordan Peele. He's already stated that this is the first of a number of horrors he has planned which will act as social commentaries and, if they continue to be as good as his debut, I cannot wait."
62,"1/10 | Bad, cringe worthy acting. Stereotypical behavior which is insulting to black people. The movie expects all black man apparently to act like thugs among another. Calling each other brother and giving fist bumps and calling women bitches. Full of product placement. All the computers and phones used in the movie are from the same brand. Low level of humour (transformers movie level), which does appeal to the mass audience but not any self respecting intelligent human being. Very boring, keeps you waiting for something to happen. It is all a mess.

Do not waste your time watching the movie. It is much to highly rated.
22 out of 39 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
63,"5/10 | This film is just another example of liberal political agenda. What happened to good ol' fashioned horror films? Jordan Peele is a miserable failure in everything he does yet he's so full of himself.
6 out of 8 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
64,10/10 | 
65,"9/10 | Daniel K is a good actor with his perfect portrayal of the character Chris. The movie wasn't scary to be frank but more entertaining than most horror movies. Each scene in the movie means a thousand words.

Allison Williams also played a great role as the movie villain ranging from an innocent woman who dates a black guy to a crazy and monstrous woman ready to kill to have her victim's colored body hosted by older non-blacks.

In all, the movie was entertaining and covered the area of racial discrimination in the United States in a creative, plot twisting way. I recommend this movie for all , from going to old.
18 out of 31 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
66,"1/10 | Actually if we're not talking about characters in the movie, but the viewers of the movie, I urge you to stay and watch. This is a clever horror comedy, that does play with the viewers expectations and is also a powerful message. You could almost say a social commentary. But it's really about having fun at the movies.

And one character especially is very entertaining and does everything he can to keep things light. The combination of being funny but also scary is a difficult one, but the movie walks that fine line very nicely. Some people took issue with the theme and the bad guys in this and how or rather what they represented. But if you really have issues with that, than the issue lies within yourself. It's a completely different thing not liking a movie because you're just not into it and one arguing it is unfair to you in its depiction ... you've revealed much about yourself I'd say.

It was about time someone made a movie like this and it sets a pretty high standard! Great script, great performances, a nail-biter ..."
67,"1/10 | This is not cinema This is unfiltered mind droppings
16 out of 27 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
68,"1/10 | Not an original or worthwhile piece of cinema.

Just more racist Communist SJW cult nonsense.

The media says it's 99% awesome though, which is unfortunate, because the movie never really gets a laugh bigger than that Wag the Dog joke.

In fact, if you absolutely must watch a ""hate whitey"" horror comedy Tales From the Hood is a much, much better choice.
118 out of 253 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
